UNION,SOVEREIGN1,signatories
Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania
Algeria,Algeria,Algeria
Andorra,Andorra,Andorra
Angola,Angola,Angola
Antarctica,Antarctica,NA
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina
Armenia,Armenia,Armenia
Australia,Australia,Australia
Christmas Island,Australia,Australia
Cocos Islands,Australia,Australia
Heard and McDonald Islands,Australia,Australia
Macquarie Island,Australia,Australia
Norfolk Island,Australia,Australia
Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,Bahamas
Bahrain,Bahrain,"Barhrain, Kingdom of"
Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,Barbados
Belarus,Belarus,Belarus
Belgium,Belgium,Belgium
Belize,Belize,Belize
Benin,Benin,Benin
Bhutan,Bhutan,Bhutan
Bolivia,Bolivia,"Bolivia, Plurinational State of"
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana,Botswana
Brazil,Brazil,Brazil
Trinidade,Brazil,Brazil
Brunei,Brunei,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon
Canada,Canada,Canada
Cape Verde,Cape Verde,Cabo Verde
Central African Republic,Central African Republic,Central African Republic
Chad,Chad,Chad
Chile,Chile,Chile
Easter Island,Chile,Chile
Islas San Félix and San Ambrosio,Chile,Chile
China,China,China
Overlapping claim South China Sea,China,China
Bajo Nuevo Bank,Colombia,Colombia
Colombia,Colombia,Colombia
Colombian Exclusive Economic Zone (Quitasueño),Colombia,Colombia
Serrana Bank,Colombia,Colombia
Serranilla Bank,Colombia,Colombia
Comores,Comores,Comoros
Costa Rica,Costa Rica,Costa Rica
Croatia,Croatia,Croatia
Cuba,Cuba,Cuba
Cyprus,Cyprus,Cyprus
Czech Republic,Czech Republic,Czech Republic
Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Denmark,Denmark
Faeroe,Denmark,Denmark
Greenland,Denmark,Denmark
Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica
Dominican Republic,Dominican Republic,Dominican Republic
East Timor,East Timor,NA
Oecusse,East Timor,NA
Ecuador,Ecuador,Ecuador
Galapagos,Ecuador,Ecuador
Egypt,Egypt,Egypt
El Salvador,El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia
Ethiopia,Ethiopia,Ethiopia
Federal Republic of Somalia,Federal Republic of Somalia,Somalia
Fiji,Fiji,Fiji
Finland,Finland,Finland
Amsterdam and Saint Paul Islands,France,France
Bassas da India,France,France
Clipperton Island,France,France
Collectivity of Saint Martin,France,France
Crozet Islands,France,France
Europa Island,France,France
France,France,France
French Guiana,France,France
French Polynesia,France,France
Guadeloupe,France,France
Juan de Nova Island,France,France
Kerguélen,France,France
Martinique,France,France
New Caledonia,France,France
Réunion,France,France
Saint-Barthélemy,France,France
Saint-Pierre and Miquelon,France,France
Wallis and Futuna,France,France
Gabon,Gabon,Gabon
Gambia,Gambia,The Gambia
Georgia,Georgia,Georgia
Germany,Germany,Germany
Ghana,Ghana,Ghana
Grand Duchy of Luxembourg,Grand Duchy of Luxembourg,Luxembourg
Greece,Greece,Greece
Grenada,Grenada,Grenada
Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana
Haiti,Haiti,Haiti
Honduras,Honduras,Honduras
Hungary,Hungary,Hungary
Iceland,Iceland,Iceland
Andaman and Nicobar,India,India
India,India,India
Indonesia,Indonesia,Indonesia
Iran,Iran,Iran
Iraq,Iraq,Iraq
Ireland,Ireland,Ireland
Israel,Israel,Israel
Italy,Italy,Italy
Ivory Coast,Ivory Coast,Côte d'Ivoire
Jamaica,Jamaica,Jamaica
Japan,Japan,Japan
Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya
Gilbert Islands,Kiribati,Kiribati
Line Group,Kiribati,Kiribati
Phoenix Group,Kiribati,Kiribati
Kuwait,Kuwait,"Kuwait, the State of"
Kyrgyzstan,Kyrgyzstan,Kyrgyz Republic
Laos,Laos,Lao People's Democratic Republic
Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanese Republic
Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia
Libya,Libya,Libya
Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lithuania,Lithuania
Macedonia,Macedonia,North Macedonia
Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives
Mali,Mali,Mali
Malta,Malta,Malta
Marshall Islands,Marshall Islands,Marshall Islands
Mauritania,Mauritania,Mauritania
Chagos Archipelago,Mauritius,Mauritius
Mexico,Mexico,Mexico
Micronesia,Micronesia,"Micronesia, Federated States of"
Moldova,Moldova,"Moldova, Republic of"
Monaco,Monaco,NA
Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro
Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar
Namibia,Namibia,Namibia
Nauru,Nauru,Nauru
Nepal,Nepal,Nepal
Aruba,Netherlands,Netherlands
Bonaire,Netherlands,Netherlands
Curaçao,Netherlands,Netherlands
Netherlands,Netherlands,Netherlands
Saba,Netherlands,Netherlands
Sint-Eustatius,Netherlands,Netherlands
Sint-Maarten,Netherlands,Netherlands
Cook Islands,Cook Islands,Cook Islands
New Zealand,New Zealand,New Zealand
Niue,Niue,Niue
Tokelau,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
North Korea,North Korea,"Korea, Democratic People's Republic of"
Bouvet,Norway,Norway
Jan Mayen,Norway,Norway
Norway,Norway,Norway
Svalbard,Norway,Norway
Oman,Oman,Oman
Pakistan,Pakistan,Pakistan
Palau,Palau,Palau
Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay
Peru,Peru,Peru
Philippines,Philippines,Philippines
Poland,Poland,Poland
Azores,Portugal,Portugal
Madeira,Portugal,Portugal
Portugal,Portugal,Portugal
Qatar,Qatar,Qatar
Republic of Mauritius,Republic of Mauritius,Mauritius
Republic of the Congo,Republic of the Congo,Congo
Romania,Romania,Romania
Russia,Russia,Russian Federation
Rwanda,Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa,Samoa
San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,"Saudi Arabia, Kingdom of"
Senegal,Senegal,Senegal
Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovak Republic
Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands
Prince Edward Islands,South Africa,South Africa
South Africa,South Africa,South Africa
South Korea,South Korea,"Korea, Republic of"
South Sudan,South Sudan,South Sudan
Canary Islands,Spain,Spain
Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudan
Suriname,Suriname,Suriname
Swaziland,Swaziland,Eswatini
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Syria,Syria,Syrian Arab Republic
Taiwan,Taiwan,NA
Tajikistan,Tajikistan,Tajikistan
Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand
Togo,Togo,Togo
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia
Turkey,Turkey,Türkiye
Turkmenistan,Turkmenistan,Turkmenistan
Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates
Anguilla,United Kingdom,United Kingdom
Ascension,United Kingdom,United Kingdom
Bermuda,United Kingdom,United Kingdom
British Virgin Islands,United Kingdom,United Kingdom
Cayman Islands,United Kingdom,United Kingdom
Guernsey,United Kingdom,United Kingdom
Jersey,United Kingdom,United Kingdom
Montserrat,Montserrat,Montserrat
Pitcairn,United Kingdom,United Kingdom
Saint Helena,United Kingdom,United Kingdom
Tristan Da Cunha,United Kingdom,United Kingdom
Turks and Caicos Islands,United Kingdom,United Kingdom
United Kingdom,United Kingdom,United Kingdom
Alaska,United States,United States of America
American Samoa,United States,United States of America
Guam,United States,United States of America
Hawaii,United States,United States of America
Howland and Baker islands,United States,United States of America
Jarvis Island,United States,United States of America
Johnston Atoll,United States,United States of America
Northern Mariana Islands,United States,United States of America
Palmyra Atoll,United States,United States of America
Puerto Rico,United States,United States of America
United States,United States,United States of America
United States Virgin Islands,United States,United States of America
Wake Island,United States,United States of America
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu
Vatican City,Vatican City,NA
Venezuela,Venezuela,"Venezuela, Bolivarian Republic of"
Vietnam,Vietnam,Viet Nam
Yemen,Yemen,Yemen
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe