"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
4,"gfdl-esm4 ssp126","shock_0.25",0.999998396969441,0.829341226075472,0.211698424183895,30
4,"gfdl-esm4 ssp585","shock_0.25",0.999999975526665,0.957388806090204,0.444669388727686,30
4,"ipsl-cm6a-lr ssp126","shock_0.25",0.998601865068927,0.51496734767298,0.0681307067644245,30
4,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.979553674602985,0.49322650569211,30
6,"gfdl-esm4 ssp126","shock_0.25",1,0.822604655278666,0.146931712105621,30
6,"gfdl-esm4 ssp585","shock_0.25",1,0.914405623220794,0.373399197890963,30
6,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.664463745332419,0.0904549752801858,30
6,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.999911030148892,0.886777472467205,30
7,"gfdl-esm4 ssp126","shock_0.25",1,0.634863914465748,0.00908999999999993,30
7,"gfdl-esm4 ssp585","shock_0.25",1,0.80032005067108,0.0711513212129319,30
7,"ipsl-cm6a-lr ssp126","shock_0.25",0.991374217570985,0.143728664188418,0.00302969699999989,30
7,"ipsl-cm6a-lr ssp585","shock_0.25",0.999445070251182,0.309478207927014,0.00165256200000008,30
9,"gfdl-esm4 ssp126","shock_0.25",1,0.447942814653631,0.00413140499999998,30
9,"gfdl-esm4 ssp585","shock_0.25",1,0.459939633355592,0.0119044617854693,30
9,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.239166733326331,0,30
9,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.548204065316374,0.036121797943203,30
16,"gfdl-esm4 ssp126","shock_0.25",1,0.453523025938956,0.0127357056011614,30
16,"gfdl-esm4 ssp585","shock_0.25",1,0.921242486284747,0.304482563838846,30
16,"ipsl-cm6a-lr ssp126","shock_0.25",0.999998588147867,0.92387916662209,0.4512876073669,30
16,"ipsl-cm6a-lr ssp585","shock_0.25",0.999754501912859,0.605092725737131,0.0864852011953366,30
17,"gfdl-esm4 ssp126","shock_0.25",1,0.891505365230662,0.255109409533977,30
17,"gfdl-esm4 ssp585","shock_0.25",0.997297333291388,0.324168155326725,0.016196194223868,30
17,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.481765366436639,0.044131223140415,30
17,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.576608209560505,0.0473051321456953,30
27,"gfdl-esm4 ssp126","shock_0.25",0.999999534050743,0.962575958354618,0.420037174443492,30
27,"gfdl-esm4 ssp585","shock_0.25",0.999999694368714,0.983882286817108,0.704021434115559,30
27,"ipsl-cm6a-lr ssp126","shock_0.25",0.999719102331096,0.186743047007913,0.00692910656913592,30
27,"ipsl-cm6a-lr ssp585","shock_0.25",0.999673528147693,0.531758856673253,0.0270195714190106,30
36,"gfdl-esm4 ssp126","shock_0.25",0.99955153798896,0.44535892697316,0.00637265177844348,30
36,"gfdl-esm4 ssp585","shock_0.25",1,0.732550619094454,0.152280384659663,30
36,"ipsl-cm6a-lr ssp126","shock_0.25",0.99997878487289,0.719090491337215,0.0896414068639538,30
36,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.735761024230565,0.074526712953629,30
46,"gfdl-esm4 ssp126","shock_0.25",0.999688570103741,0.419578986160874,0.0188906076815083,30
46,"gfdl-esm4 ssp585","shock_0.25",0.999962662003851,0.573023759159382,0.0282407424480852,30
46,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.868687574707288,0.0824140888397411,30
46,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.892592672562233,0.190560334082697,30
52,"gfdl-esm4 ssp126","shock_0.25",0.999965055643442,0.702245135550589,0.0998825768742562,30
52,"gfdl-esm4 ssp585","shock_0.25",1,0.988163120146478,0.453157287998339,30
52,"ipsl-cm6a-lr ssp126","shock_0.25",0.999740573248267,0.550717958959514,0.0538440050708159,30
52,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.999518845763299,0.86028510393804,30
94,"gfdl-esm4 ssp126","shock_0.25",1,0.943625778480594,0.535741718052552,30
94,"gfdl-esm4 ssp585","shock_0.25",1,0.743670820044643,0.125419766335167,30
94,"ipsl-cm6a-lr ssp126","shock_0.25",0.999437963761737,0.514817509689449,0.0279522548769254,30
94,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.826099570305316,0.0687427687065102,30
95,"gfdl-esm4 ssp126","shock_0.25",1,0.387764100006646,0.0289568198398599,30
95,"gfdl-esm4 ssp585","shock_0.25",1,0.629553586666001,0.0806757534290804,30
95,"ipsl-cm6a-lr ssp126","shock_0.25",0.999413920265873,0.626731807096937,0.0793484251569478,30
95,"ipsl-cm6a-lr ssp585","shock_0.25",0.999602294923312,0.497085170213047,0.0312699485300858,30
97,"gfdl-esm4 ssp126","shock_0.25",0.994348212948439,0.278803017449104,0.0118952484653514,30
97,"gfdl-esm4 ssp585","shock_0.25",0.99986609161636,0.503852753148286,0.0223405841234094,30
97,"ipsl-cm6a-lr ssp126","shock_0.25",0.999983055267531,0.683792414951315,0.153902507923513,30
97,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.639072585005756,0.0625150811008315,30
98,"gfdl-esm4 ssp126","shock_0.25",0.9843271671808,0.216,0.0199999999999998,30
98,"gfdl-esm4 ssp585","shock_0.25",0.86939305984,0.0199999999999999,0,30
98,"ipsl-cm6a-lr ssp126","shock_0.25",1,0,0,30
98,"ipsl-cm6a-lr ssp585","shock_0.25",0.998880435148291,0.1413456,0,30
99,"gfdl-esm4 ssp126","shock_0.25",0.999979468759193,0.59016195666577,0.00826280999999995,30
99,"gfdl-esm4 ssp585","shock_0.25",0.999871485163674,0.498773579464366,0.0434255278846429,30
99,"ipsl-cm6a-lr ssp126","shock_0.25",0.999211018463148,0.355587702259567,0.0209038172288539,30
99,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.837628297474253,0.0880116309239563,30
120,"gfdl-esm4 ssp126","shock_0.25",0.999993062382906,0.830409082865506,0.226343876410011,30
120,"gfdl-esm4 ssp585","shock_0.25",1,0.945364132372899,0.388265830611726,30
120,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.666607219514257,0.0965071663053152,30
120,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999999999657,0.999755453467855,0.88999905865098,30
121,"gfdl-esm4 ssp126","shock_0.25",1,0.501977193228098,0.0277930940831349,30
121,"gfdl-esm4 ssp585","shock_0.25",1,0.968818670263452,0.386682734634537,30
121,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.763897325607817,0.075612928497133,30
121,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.734186832544331,0.0439817587877059,30
123,"gfdl-esm4 ssp126","shock_0.25",1,0.696198547829822,0.0334669615632094,30
123,"gfdl-esm4 ssp585","shock_0.25",1,0.903131942047248,0.407805641165644,30
123,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.694786314014286,0.0728915305801746,30
123,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.999068766360304,0.826776426282851,30
124,"gfdl-esm4 ssp126","shock_0.25",1,0.75868906217726,0.1482743937142,30
124,"gfdl-esm4 ssp585","shock_0.25",0.999940371773659,0.666564436974388,0.0614100987853173,30
124,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.553317265587036,0.0142964749757221,30
124,"ipsl-cm6a-lr ssp585","shock_0.25",0.999967713129452,0.749313887924773,0.134460112236335,30
127,"gfdl-esm4 ssp126","shock_0.25",1,0.945196153908069,0.432948279138869,30
127,"gfdl-esm4 ssp585","shock_0.25",0.999999999536343,0.999284826421969,0.913698929098831,30
127,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.903091337621702,0.245659002351551,30
127,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.997755420942319,0.72663242177526,30
128,"gfdl-esm4 ssp126","shock_0.25",0.999818055638978,0.505843214013396,0.0343239216089819,30
128,"gfdl-esm4 ssp585","shock_0.25",0.999993783276099,0.585955830291251,0.0724139526045142,30
128,"ipsl-cm6a-lr ssp126","shock_0.25",0.99991150326221,0.706061433850542,0.122006876824455,30
128,"ipsl-cm6a-lr ssp585","shock_0.25",0.999997615068885,0.684421156429873,0.0642280747471479,30
130,"gfdl-esm4 ssp126","shock_0.25",1,0.868417580385513,0.221979042135868,30
130,"gfdl-esm4 ssp585","shock_0.25",0.999938649414977,0.651366944481967,0.0530908042134308,30
130,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.953138187102411,0.319481387952476,30
130,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.912497552542071,0.24560010182505,30
132,"gfdl-esm4 ssp126","shock_0.25",0.999975794796408,0.620344841415885,0.0302458344598382,30
132,"gfdl-esm4 ssp585","shock_0.25",0.99999992354905,0.836237336283495,0.21028988318588,30
132,"ipsl-cm6a-lr ssp126","shock_0.25",0.99981579401965,0.638904030615997,0.083946881291558,30
132,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.999363907004377,0.853836753579012,30
135,"gfdl-esm4 ssp126","shock_0.25",0.999997906168918,0.875634280523648,0.247593489918174,30
135,"gfdl-esm4 ssp585","shock_0.25",0.999998836302475,0.884908366465496,0.247268838351611,30
135,"ipsl-cm6a-lr ssp126","shock_0.25",0.99999539256535,0.767460734770016,0.161318613306032,30
135,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999591228576,0.875927528235291,0.182577813006176,30
136,"gfdl-esm4 ssp126","shock_0.25",0.999885480235066,0.766821496900421,0.180796482605654,30
136,"gfdl-esm4 ssp585","shock_0.25",1,0.918789785539497,0.37175645000506,30
136,"ipsl-cm6a-lr ssp126","shock_0.25",0.999751866164789,0.386339247935263,0.0158251513064001,30
136,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.885323803393085,0.198444607858868,30
137,"gfdl-esm4 ssp126","shock_0.25",1,0.700706400963015,0.0209267316042854,30
137,"gfdl-esm4 ssp585","shock_0.25",1,0.702916500754878,0.109861095362255,30
137,"ipsl-cm6a-lr ssp126","shock_0.25",0.999990089280576,0.768009528355468,0.122062679710759,30
137,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999998949789,0.995685462899948,0.710669020512121,30
140,"gfdl-esm4 ssp126","shock_0.25",0.999856493103804,0.55623285962019,0.0378687838772785,30
140,"gfdl-esm4 ssp585","shock_0.25",0.999996476344602,0.834353967311891,0.162576845578653,30
140,"ipsl-cm6a-lr ssp126","shock_0.25",0.99999532959111,0.6325045839285,0.0287162291418974,30
140,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999124831231,0.747448748251556,0.128171549003852,30
141,"gfdl-esm4 ssp126","shock_0.25",1,0.469701729468563,0.0188583120197583,30
141,"gfdl-esm4 ssp585","shock_0.25",1,0.435135094963036,0.0419360310174053,30
141,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.433810293955043,0.0438601019910214,30
141,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.651029051383639,0.0420365326582715,30
145,"gfdl-esm4 ssp126","shock_0.25",1,0.722754812491059,0.0182079062457069,30
145,"gfdl-esm4 ssp585","shock_0.25",0.999997797365525,0.713393682673134,0.109861095362255,30
145,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.835432226098121,0.103282498414057,30
145,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.998897153393599,0.758408826661537,30
146,"gfdl-esm4 ssp126","shock_0.25",0.99907432086268,0.512438005123617,0.0350622544443709,30
146,"gfdl-esm4 ssp585","shock_0.25",0.999988906139959,0.601822999244727,0.0450041478794666,30
146,"ipsl-cm6a-lr ssp126","shock_0.25",0.999954877335453,0.770991379363422,0.135176976911593,30
146,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.766807696351119,0.155376803671684,30
147,"gfdl-esm4 ssp126","shock_0.25",1,0.532890942108924,0.0503453069619713,30
147,"gfdl-esm4 ssp585","shock_0.25",1,0.836616723564152,0.107181466801282,30
147,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.352884048102544,0.00550798914599993,30
147,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.742756099316104,0.210518898469783,30
149,"gfdl-esm4 ssp126","shock_0.25",0.999796544062841,0.729219015646101,0.14348258608398,30
149,"gfdl-esm4 ssp585","shock_0.25",0.999904703014941,0.622780902430684,0.0607428259844952,30
149,"ipsl-cm6a-lr ssp126","shock_0.25",0.998894571428323,0.327025387354529,0.018792021010306,30
149,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.943995544895444,0.249572810275971,30
151,"gfdl-esm4 ssp126","shock_0.25",0.99884733020289,0.446782727581485,0.0282840844653426,30
151,"gfdl-esm4 ssp585","shock_0.25",1,0.97710762295456,0.467674932677531,30
151,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.996929155357649,0.806038317477417,30
151,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.957385476771596,0.345207830090091,30
152,"gfdl-esm4 ssp126","shock_0.25",0.999985351172525,0.818153525151169,0.174569804125801,30
152,"gfdl-esm4 ssp585","shock_0.25",1,0.562186703383218,0.043306626082696,30
152,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.453941792438069,0.0286041008002025,30
152,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.893373514209667,0.235380905097439,30
188,"gfdl-esm4 ssp126","shock_0.25",1,0.507720564435736,0.0141783745619204,30
188,"gfdl-esm4 ssp585","shock_0.25",1,0.500940741918803,0.0361490902975622,30
188,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.630129216840392,0.0654912143735519,30
188,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.78349472127345,0.20975096285631,30
579,"gfdl-esm4 ssp126","shock_0.25",0.999985442722267,0.709904866671111,0.0946652390653612,30
579,"gfdl-esm4 ssp585","shock_0.25",0.999989752640442,0.677063871646511,0.0282505055313239,30
579,"ipsl-cm6a-lr ssp126","shock_0.25",0.999964625415363,0.730217966197073,0.111652409386947,30
579,"ipsl-cm6a-lr ssp585","shock_0.25",0.999950234254348,0.740933462168187,0.115720544435705,30
582,"gfdl-esm4 ssp126","shock_0.25",0.993469652992,0.306111,0,30
582,"gfdl-esm4 ssp585","shock_0.25",1,0,0,30
582,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.2959744,0,30
582,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.1168,0,30
583,"gfdl-esm4 ssp126","shock_0.25",0.999930524845912,0.58648021230414,0.0650007310691038,30
583,"gfdl-esm4 ssp585","shock_0.25",0.999996430972848,0.88705246549969,0.200970427984071,30
583,"ipsl-cm6a-lr ssp126","shock_0.25",0.99999376493186,0.957285798738739,0.490166616842799,30
583,"ipsl-cm6a-lr ssp585","shock_0.25",0.999896897321102,0.562967614273588,0.0237237900046818,30
620,"gfdl-esm4 ssp126","shock_0.25",0.999920041141751,0.875324133304688,0.310210886803217,30
620,"gfdl-esm4 ssp585","shock_0.25",1,0.690111597418695,0.0507715529916339,30
620,"ipsl-cm6a-lr ssp126","shock_0.25",0.999861604305166,0.609585843345723,0.0682027269112435,30
620,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.500657826653164,0.0409222895781959,30
640,"gfdl-esm4 ssp126","shock_0.25",0.999998916219837,0.887749902226946,0.207304971363093,30
640,"gfdl-esm4 ssp585","shock_0.25",0.999998079502323,0.836096637036118,0.171692611133653,30
640,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.593434043314096,0.0257652062079716,30
640,"ipsl-cm6a-lr ssp585","shock_0.25",0.999996267643302,0.732908232190615,0.127024021507943,30
755,"gfdl-esm4 ssp126","shock_0.25",0.99969355773771,0.644721373264433,0.0742580355461239,30
755,"gfdl-esm4 ssp585","shock_0.25",1,0.905153540994635,0.192731540981145,30
755,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.761278420713915,0.127161343576069,30
755,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999893439312,0.878762859572315,0.189397840609315,30
762,"gfdl-esm4 ssp126","shock_0.25",0.999989288766091,0.82444888373485,0.195048657053637,30
762,"gfdl-esm4 ssp585","shock_0.25",1,0.457957887063909,0.00856623603618001,30
762,"ipsl-cm6a-lr ssp126","shock_0.25",0.999971599980378,0.581321484353763,0.0434660668489304,30
762,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.766702303409926,0.0703936203946164,30
764,"gfdl-esm4 ssp126","shock_0.25",0.99890713924821,0.484476891745121,0.0417669855003878,30
764,"gfdl-esm4 ssp585","shock_0.25",1,0.961444931377772,0.49887626100246,30
764,"ipsl-cm6a-lr ssp126","shock_0.25",0.999999935774552,0.984857574947766,0.710061499800992,30
764,"ipsl-cm6a-lr ssp585","shock_0.25",0.999998835683726,0.866144536790341,0.214130761152707,30
838,"gfdl-esm4 ssp126","shock_0.25",0.999980998062619,0.770877466567353,0.178745278266711,30
838,"gfdl-esm4 ssp585","shock_0.25",0.99977353914278,0.686373360956813,0.160619619307584,30
838,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.440050057939287,0.0207087806146496,30
838,"ipsl-cm6a-lr ssp585","shock_0.25",0.999997651978943,0.834028410312675,0.156392082413889,30
857,"gfdl-esm4 ssp126","shock_0.25",0.999946084156543,0.570031394248056,0.0396878112760145,30
857,"gfdl-esm4 ssp585","shock_0.25",0.999166067744295,0.497621665413944,0.0229117604341452,30
857,"ipsl-cm6a-lr ssp126","shock_0.25",0.999988207882211,0.738473677241478,0.11045023917535,30
857,"ipsl-cm6a-lr ssp585","shock_0.25",0.999925016734415,0.711030896949998,0.131344412830262,30
863,"gfdl-esm4 ssp126","shock_0.25",1,0.785923162677512,0.204564335047349,30
863,"gfdl-esm4 ssp585","shock_0.25",1,0.792253829236525,0.13429041954124,30
863,"ipsl-cm6a-lr ssp126","shock_0.25",0.999999605012104,0.883589532788204,0.201962268933349,30
863,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.920195629561828,0.204536550725192,30
869,"gfdl-esm4 ssp126","shock_0.25",0.999998265595727,0.817181319573328,0.146257902925071,30
869,"gfdl-esm4 ssp585","shock_0.25",1,0.93743274822315,0.382576647947991,30
869,"ipsl-cm6a-lr ssp126","shock_0.25",0.997694158427335,0.449306467520197,0.0632278385455497,30
869,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999999963784,0.99917711227938,0.848655155606739,30
878,"gfdl-esm4 ssp126","shock_0.25",1,0.548516001812029,0.0374390210226901,30
878,"gfdl-esm4 ssp585","shock_0.25",1,0.956028795856686,0.445804032301888,30
878,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.996267688722448,0.845506684859695,30
878,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.967941959194477,0.435362632793393,30
889,"gfdl-esm4 ssp126","shock_0.25",0.999942090846808,0.876652750411529,0.210768680927882,30
889,"gfdl-esm4 ssp585","shock_0.25",1,0.921094798615619,0.207401275324985,30
889,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.853611777750085,0.195621842087074,30
889,"ipsl-cm6a-lr ssp585","shock_0.25",0.999998682697326,0.746249418992556,0.0920566217712784,30
901,"gfdl-esm4 ssp126","shock_0.25",1,0.834862901606102,0.0429555173110054,30
901,"gfdl-esm4 ssp585","shock_0.25",0.999281328834255,0.555244084380589,0.0474754552297727,30
901,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.807371447193132,0.137192982639089,30
901,"ipsl-cm6a-lr ssp585","shock_0.25",0.999955476220498,0.64247335461775,0.0327490834007217,30
909,"gfdl-esm4 ssp126","shock_0.25",0.999873337474332,0.634172494512124,0.067686469741546,30
909,"gfdl-esm4 ssp585","shock_0.25",1,0.563882940038116,0.0507556661893351,30
909,"ipsl-cm6a-lr ssp126","shock_0.25",0.999977988382691,0.752418308713449,0.12616049241213,30
909,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.694723493219966,0.0788156915095342,30
910,"gfdl-esm4 ssp126","shock_0.25",0.999939344676111,0.526019519589412,0.0257950438936362,30
